"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947778","1.1.1.1.36.2.3","-29.7","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947778","1.1.1.1.36.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947778","1.1.1.1.36.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949461","1.2.1.1.1.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949461","1.2.1.1.1.2.3","-33.6","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949461","1.2.1.1.1.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949461","1.2.1.1.1.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949525","1.2.1.1.4.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949525","1.2.1.1.4.2.3","-15.5","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949525","1.2.1.1.4.2.3","","..","","","1"
