"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128668","2.1.1.1.28.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128668","2.1.1.1.28.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128668","2.1.1.1.28.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128668","2.1.1.1.28.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128818","2.1.1.1.33.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128818","2.1.1.1.33.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128818","2.1.1.1.33.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128818","2.1.1.1.33.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128908","2.1.1.1.36.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128908","2.1.1.1.36.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128908","2.1.1.1.36.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128908","2.1.1.1.36.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133858","2.2.1.1.1.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133858","2.2.1.1.1.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133858","2.2.1.1.1.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133858","2.2.1.1.1.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133948","2.2.1.1.4.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133948","2.2.1.1.4.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133948","2.2.1.1.4.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133948","2.2.1.1.4.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134278","2.2.1.1.15.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134278","2.2.1.1.15.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134278","2.2.1.1.15.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134278","2.2.1.1.15.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134488","2.2.1.1.22.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134488","2.2.1.1.22.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134488","2.2.1.1.22.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134488","2.2.1.1.22.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134668","2.2.1.1.28.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134668","2.2.1.1.28.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134668","2.2.1.1.28.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134668","2.2.1.1.28.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134818","2.2.1.1.33.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134818","2.2.1.1.33.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134818","2.2.1.1.33.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134818","2.2.1.1.33.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134908","2.2.1.1.36.2.3","","..","","","1"
